NumeroPedido;DtHoraPedido;DtHoraIntegracaoERP;Loja-Nome;Cod Loja;Bairro Entrega;CategoriaProduto;FormaPagamento;QTD.Itens;Qtd Unidades Devolvidas;NrItensCancelados;Peso Total (kg);ValorBrutoPedido(R$);Valor Desconto (R$);ValorLiquidoPedido(R$);HouveDesconto;CanalPedido;Dt Separacao Estoque;DtNotaFiscal;Dt_Despacho_Transportadora;DtEntregaCliente;Valor Frete (R$);TransportadoraResponsavel;SituacaoPedido;OBS
PA-2023-00021;09/02/2023 02:07 PM;09/02/2023 02:42 PM;pata amiga criciuma;LJ-021;Centro;RACAO;Cartão de Crédito;3;0;0;2.5;532,08;0,00;532,08;Nao;LOJA FISICA;;;;;;;Retirada na loja;produto fora de linha - substituido
PA-2023-00007;09/02/2023 07:10 AM;09/02/2023 05:10 PM;pata amiga blumenau centro;;;Rac.;CARTAO DE DEBITO;2;0;0;3.0;197.05;31.33;R$ 165,72;S;LOJA FISICA;;;;;;;Retirada na loja;aguardando confirmacao de estoque
PA-2023-00020;09/02/2023 11:50 AM;09/02/2023 09:50 PM;PATA AMIGA SANTO AMARO DA IMPERATRIZ;;Sul do Rio;Brinquedo;vale pet;2;0;N/I;7.8;120;0,00;120,63;N;site;2023-09-03;2023-09-03;2023-09-09;2023-09-13;R$ 21,70;Entrega Expressa SC;Entregue;
PA-2023-00014;09/02/2023 09:55 PM;09/02/2023 10:30 PM;PATA AMIGA GASPAR;LJ-007;Figueira;Hig.;Vale Pet;5;0;0;4,7;168,32;R$ 26,76;141.56;SIM;app;2023-09-04;2023-09-04;2023-09-09;2023-09-11;19;Rapido Catarinense;Entregue;cliente pediu entrega no periodo da tarde
PA-2023-00013;09/02/2023 11:20 PM;09/02/2023 11:30 PM;Pata Amiga Indaial;LJ-006;Nacoes;Petiscos;Cartao de Debito;8;0;0;24.1;279,01;55,52;;1;app;2023-09-04;2023-09-05;2023-09-08;2023-09-10;;Entrega Expressa SC;Entregue;pedido recorrente
PA-2023-00027;09/03/2023 01:23 AM;09/03/2023 01:33 AM;Pata Amiga Santo Amaro da Imperatriz;LJ-020;Sul do Rio;Servicos;BOLETO;3;0;0;10,7;400,10;0,00;400,10;N;App Pata Amiga;2023-09-06;2023-09-06;2023-09-15;2023-09-18;;Rapido Catarinense;Entregue;
PA-2023-00026;09/03/2023 06:05 AM;09/03/2023 06:15 AM;Pata Amiga Sao Jose Kobrasol/SC;LJ-018;Real Parque;servico;BOLETO;2;;0;1.5;242;0,00;R$ 242,49;Nao;Telefone;2023-09-05;2023-09-05;2023-09-08;2023-09-10;9,05;Correios;Entregue;aguardando confirmacao de estoque
PA-2023-00006;09/02/2023 09:00 PM;09/03/2023 07:00 AM;PATA AMIGA BLUMENAU CENTRO;LJ-001;Velha;Ração Medicamentosa;BOLETO;7;1;0;19.7;992,15;157,75;R$ 834,40;S;WHATSAPP;;;;;;;Pedido cancelado;
PA-2023-00025;09/03/2023 01:47 PM;09/03/2023 01:57 PM;Pata Amiga Jaraguá do Sul;LJ-014;Jaragua Esquerdo;Servico;VALE PET;2;;N/I;8,1;226;0,00;226.12;false;App Pata Amiga;2023-09-04;2023-09-04;2023-09-07;2023-09-09;27,06;Rapido Catarinense;Entregue;embalagem para presente
PA-2023-00028;09/03/2023 02:23 PM;09/03/2023 04:23 PM;PATA AMIGA TUBARAO;;Humaita;Higiene;vale pet;1;0;0;0.9;R$ 57,15;1;55,95;1;Tel.;2023-09-04;2023-09-04;2023-09-06;2023-09-08;6;Rapido Catarinense;Entregue;
PA-2023-00030;09/03/2023 06:05 PM;09/03/2023 06:15 PM;Pata Amiga Chapeco;LJ-029;Centro;BRINQUEDO;DINHEIRO;3;0;;11,4;194,17;12;R$ 181,55;X;app;2023-09-05;2023-09-05;2023-09-06;2023-09-08;42;Logistica Propria;Entregue;aguardando confirmacao de estoque
PA-2023-00029;09/03/2023 07:00 PM;09/03/2023 07:20 PM;Pata Amiga Ararangua;LJ-023;Cidade Alta;Petisco;Cartão de Débito;4;0;0;2.0;204.28;22.06;R$ 182,22;S;WhatsApp;2023-09-04;2023-09-04;2023-09-05;2023-09-07;7.74;Entrega Expressa SC;Entregue;embalagem para presente
PA-2023-00024;09/03/2023 09:05 PM;09/03/2023 10:25 PM;pata amiga joinville sul;LJ-013;Boa Vista;HIGIENE;DINHEIRO;3;0;0;12.3;R$ 115,13;5,76;109,37;SIM;site;2023-09-05;2023-09-05;2023-09-08;2023-09-11;38;Entrega Expressa SC;Entregue;pedido recorrente
PA-2023-00023;09/03/2023 12:47 PM;09/03/2023 10:47 PM; Pata Amiga Gaspar;;Poco Grande;Acessorios;CARTAO DE DEBITO;3;0;0;10.1;R$ 166,05;0.00;R$ 166,05;N;App Pata Amiga;2023-09-05;;;;;Rapido Catarinense;Aguardando nota fiscal;conferir endereco com o cliente
PA-2023-00022;09/03/2023 09:05 PM;09/04/2023 07:05 AM;PATA AMIGA BRUSQUE;LJ-004;Dom Joaquim;Med.;pix;4;0;0;10.6;497;R$ 45,76;451,68;;Telefone;2023-09-05;2023-09-05;2023-09-09;2023-09-11;R$ 40,02;Logistica Propria;Entregue;
PA-2023-00031;09/04/2023 05:52 AM;09/04/2023 07:12 AM;PATA AMIGA BRUSQUE;LJ-004;Santa Terezinha;Hig.;pix;4;0;0;15.2;R$ 160,75;10.93;149,82;SIM;APP;2023-09-05;2023-09-05;2023-09-10;2023-09-11;53,04;TransPet Log;Entregue;aguardando confirmacao de estoque
PA-2023-00032;09/04/2023 07:35 AM;09/04/2023 07:55 AM;PATA AMIGA INDAIAL;;;medicamento;CARTAO DE CREDITO;5;0;0;17.0;510,50;30,63;479,87;sim;Site;2023-09-06;;;;;Logistica Propria;Aguardando nota fiscal;conferir endereco com o cliente
PA-2023-00037;09/04/2023 06:25 AM;09/04/2023 08:25 AM;Pata Amiga Lages;LJ-025;Guarujal;HIGIENE;Debito;3;0;0;5.8;161,09;3,87;157,22;V;App Pata Amiga;2023-09-05;2023-09-05;2023-09-10;2023-09-12;14,16;TransPet Log;Entregue;aguardando confirmacao de estoque
PA-2023-00039;09/04/2023 09:20 AM;09/04/2023 09:30 AM;PATA AMIGA XANXERE;LJ-031;Bela Vista;petisco;Cartão de Débito;5;;0;11.7;161,91;24,93;136.98;Sim;Tel.;2023-09-07;2023-09-07;2023-09-12;2023-09-14;R$ 33,82;TransPet Log;Entregue;conferir endereco com o cliente
PA-2023-00038;09/04/2023 10:30 AM;09/04/2023 10:50 AM;Pata Amiga Concórdia;LJ-030;Centro;Racao Seca;Pix;7;1;0;25.3;1.229,86;189.40;R$ 1.040,46;SIM;site;2023-09-05;;;;;Entrega Expressa SC;Aguardando nota fiscal;
PA-2023-00033;09/04/2023 11:35 AM;09/04/2023 04:35 PM;Pata Amiga São Bento do Sul;LJ-015;Serra Alta;Ração Medicamentosa;PIX;1;0;0;3,0;132,86;;132,86;nao;Telefone;2023-09-06;2023-09-07;2023-09-12;2023-09-14;12,02;Rapido Catarinense;Entregue;embalagem para presente
PA-2023-00036;09/04/2023 06:50 PM;09/04/2023 09:50 PM;pata amiga criciuma;;Sao Luiz;RACAO;Credito;2;;;1,0;350;5.96;;SIM;Loja Física;;;;;;;Retirada na loja;produto fora de linha - substituido
PA-2023-00035;09/04/2023 12:12 PM;09/04/2023 10:12 PM;PATA AMIGA PALHOCA;;Passa Vinte;RACAO;pix;2;0;0;8.3;378,38;0;378.38;Não;Loja Física;;;;;;;Retirada na loja;
PA-2023-00034;09/04/2023 10:23 PM;09/05/2023 03:23 AM;PATA AMIGA ITAPOA;LJ-016;Balneario Itapoa;Ração;CARTAO DE DEBITO;3;0;;12.5;R$ 504,61;0,00;504.61;F;Site;2023-09-06;2023-09-06;2023-09-11;2023-09-12;R$ 23,13;Entrega Expressa SC;Entregue;cliente pediu entrega no periodo da tarde
PA-2023-00041;09/05/2023 11:35 AM;09/05/2023 01:35 PM;Pata Amiga Ibirama/SC;;;Hig.;Cartão de Crédito;4;0;0;15,9;R$ 184,58;R$ 4,98;R$ 179,60;S;app;2023-09-08;2023-09-08;2023-09-14;;;TransPet Log;Despachado - em transito;
PA-2023-00043;09/05/2023 06:00 AM;09/05/2023 04:00 PM;Pata Amiga Palhoça;LJ-019;Pagani;Racao Seca;BOLETO;3;0;0;8.8;408;R$ 12,27;396,71;Sim;telefone;2023-09-06;2023-09-06;2023-09-09;2023-09-12;19.80;TransPet Log;Entregue;aguardando confirmacao de estoque
PA-2023-00045;09/05/2023 12:10 PM;09/05/2023 05:10 PM;pata amiga chapeco;;Passo dos Fortes;Higiene;pix;2;0;0;8,3;110,40;R$ 0,00;110,40;Nao;App Pata Amiga;2023-09-06;;;;;TransPet Log;Aguardando nota fiscal;
PA-2023-00040;09/05/2023 04:45 PM;09/05/2023 06:05 PM;Pata Amiga Presidente Getulio;;Centro;Acessorios;CARTAO DE DEBITO;3;0;0;5.5;249;6;242.50;sim;site;;;;;;;Pedido cancelado;embalagem para presente
PA-2023-00042;09/05/2023 06:07 PM;09/05/2023 06:42 PM;Pata Amiga Jaragua Do Sul;LJ-014;Ilha da Figueira;Serviço;Vale Pet;4;0;n/d;13.0;547,77;R$ 0,00;547.77;Nao;SITE;2023-09-07;2023-09-07;2023-09-10;;;Logistica Propria;Despachado - em transito;
PA-2023-00044;09/05/2023 10:35 PM;09/05/2023 10:55 PM;PATA AMIGA TUBARAO;LJ-022;Humaita;Petiscos;Especie;3;0;0;1.5;68;0,00;68,13;NAO;SITE;2023-09-06;2023-09-07;2023-09-09;;;TransPet Log;Despachado - em transito;
PA-2023-00048;09/06/2023 12:45 AM;09/06/2023 02:05 AM;PATA AMIGA SAO BENTO DO SUL;LJ-015;Serra Alta;Higiene;Cartao de Credito;2;0;0;6.3;104;0,00;R$ 104,07;Nao;app;2023-09-08;;;;;Correios;Aguardando nota fiscal;
PA-2023-00046;09/06/2023 03:07 AM;09/06/2023 04:27 AM; Pata Amiga Blumenau Centro;;Garcia;brinquedo;BOLETO;2;0;0;8.4;R$ 145,95;0,00;145,95;0;LOJA FISICA;;;;;;;Retirada na loja;
PA-2023-00049;09/06/2023 11:12 AM;09/06/2023 01:12 PM;Pata Amiga Araranguá;LJ-023;Urussanguinha;ACESSORIO;Cartão de Débito;2;0;;5.5;R$ 201,96;0.00;R$ 201,96;nao;Site;2023-09-08;2023-09-08;2023-09-09;2023-09-11;19.71;TransPet Log;Entregue;
PA-2023-00047;09/06/2023 04:45 AM;09/06/2023 02:45 PM;PATA AMIGA ITAJAÍ PRAIA;;Cabecudas;RACAO;PIX;2;0;0;8,4;R$ 247,61;R$ 0,00;247,61;;site;2023-09-08;2023-09-09;2023-09-12;2023-09-14;R$ 31,07;Logistica Propria;Entregue;pedido recorrente
PA-2023-00059;09/07/2023 01:30 AM;09/07/2023 02:05 AM;PATA AMIGA TUBARAO;LJ-022;Passagem;Medicamento;Dinheiro;2;0;1;2,7;R$ 241,98;37;204,47;sim;LOJA FISICA;;;;;;;Retirada na loja;pedido recorrente
PA-2023-00054;09/07/2023 04:10 AM;09/07/2023 04:30 AM;Pata Amiga São Jose Kobrasol;LJ-018;Campinas;Racao Seca;vale pet;9;0;0;4.8;R$ 1.896,26;216;1.680,09;true;Telefone;2023-09-08;2023-09-09;2023-09-10;2023-09-11;16,25;Logistica Propria;Entregue;pedido recorrente
PA-2023-00060;09/07/2023 09:20 AM;09/07/2023 09:40 AM;pata amiga tubarao;LJ-022;Humaita;ACESSORIO;CARTAO DE DEBITO;4;0;0;12.9;423.86;65,70;358,16;SIM;site;2023-09-08;2023-09-08;2023-09-11;2023-09-12;19,61;Rapido Catarinense;Entregue;
PA-2023-00058;09/07/2023 10:12 AM;09/07/2023 10:47 AM;PATA AMIGA SANTO AMARO DA IMPERATRIZ;LJ-020;Braco Sao Joao;MEDICAMENTO;Pix;2;0;0;6.9;R$ 207,78;R$ 0,00;207,78;Não;WhatsApp;2023-09-10;2023-09-10;2023-09-23;2023-09-27;R$ 24,75;TransPet Log;Entregue;produto fora de linha - substituido
PA-2023-00055;09/07/2023 10:25 AM;09/07/2023 11:45 AM;Pata Amiga Sao Jose Kobrasol;;Kobrasol;petisco;Cartao de Credito;4;0;0;6,4;210,04;23,94;186,10;V;app;2023-09-09;2023-09-09;2023-09-12;;;Entrega Expressa SC;Despachado - em transito;pedido recorrente
PA-2023-00051;09/07/2023 01:35 PM;09/07/2023 02:25 PM;pata amiga gaspar;LJ-007;Bela Vista;Med.;VALE PET;1;0;0;2.5;R$ 130,15;1.82;R$ 128,33;V;Site;2023-09-08;2023-09-08;2023-09-12;2023-09-14;9.70;Entrega Expressa SC;Entregue;
PA-2023-00061;09/07/2023 03:40 PM;09/07/2023 04:00 PM;pata amiga laguna;LJ-024;Magalhaes;RAÇÃO;Cartão de Débito;2;0;0;5.1;414.86;64;R$ 350,56;Sim;SITE;2023-09-09;2023-09-09;2023-09-13;2023-09-15;14,42;Logistica Propria;Entregue;
PA-2023-00056;09/07/2023 05:23 PM;09/07/2023 06:13 PM;Pata Amiga Palhoca;;Pagani;RACAO;PIX;5;;0;16,0;893;101,86;791;S;loja fisica;;;;;;;Retirada na loja;pedido recorrente
PA-2023-00050;09/07/2023 07:20 PM;09/07/2023 07:30 PM;Pata Amiga Timbo;;Araponguinhas;Acessório;Vale Pet;2;0;1;2.3;R$ 218,03;0.00;218;NAO;LOJA FISICA;;;;;;;Retirada na loja;pedido recorrente
PA-2023-00057;09/07/2023 07:05 PM;09/07/2023 07:55 PM;Pata Amiga Palhoca;;Ponte do Imaruim;Racao;DINHEIRO;3;0;0;6,8;R$ 281,01;R$ 32,04;248,97;Sim;Site;2023-09-08;2023-09-08;2023-09-10;2023-09-11;26,15;Entrega Expressa SC;Entregue;
PA-2023-00053;09/07/2023 07:40 PM;09/07/2023 08:30 PM;pata amiga itapoa;LJ-016;Balneario Itapoa;Higiene e Beleza;vale pet;3;0;0;6.5;96,71;16;79,79;SIM;app;2023-09-09;2023-09-09;2023-09-15;2023-09-16;21,61;Logistica Propria;Entregue;pedido recorrente
PA-2023-00067;09/08/2023 12:55 AM;09/08/2023 01:15 AM;Pata Amiga Florianópolis Norte;;Saco Grande;SERVICO;Credito;2;0;0;6.4;144.11;R$ 0,00;144,11;F;App;2023-09-10;2023-09-11;2023-09-13;2023-09-16;R$ 13,14;Entrega Expressa SC;Entregue;
PA-2023-00071;09/08/2023 03:05 AM;09/08/2023 03:15 AM;Pata Amiga Tubarao;LJ-022;Humaita;Ração;Cartão de Crédito;8;1;0;32.1;-;386;R$ 1.378,75;S;site;2023-09-09;;;;;Rapido Catarinense;Aguardando nota fiscal;pedido recorrente
PA-2023-00052;09/07/2023 05:20 PM;09/08/2023 03:20 AM;Pata Amiga São Bento do Sul;;Serra Alta;BRINQUEDO;boleto;4;0;0;5.3;R$ 211,24;R$ 36,97;174;1;APP;2023-09-10;2023-09-11;2023-09-14;2023-09-15;21;Entrega Expressa SC;Entregue;
PA-2023-00065;09/08/2023 03:40 AM;09/08/2023 05:00 AM;Pata Amiga Itajai Praia;;Cabecudas;RAÇÃO;pix;4;;1;9.2;842;164,25;678;;SITE;2023-09-10;2023-09-11;2023-09-15;;;Logistica Propria;Despachado - em transito;
PA-2023-00062;09/07/2023 07:25 PM;09/08/2023 05:25 AM;Pata Amiga Chapecó;;Efapi;ACESSORIO;pix;2;0;0;3,3;241,23;7,96;233,27;sim;App;2023-09-10;2023-09-10;2023-09-14;2023-09-16;12,19;Entrega Expressa SC;Entregue;produto fora de linha - substituido
PA-2023-00066;09/08/2023 05:50 AM;09/08/2023 06:00 AM;PATA AMIGA BRUSQUE;;Limeira;Petisco;Pix;2;0;2;4.1;56,28;10.97;45,31;Sim;loja fisica;;;;;;;Retirada na loja;cliente pediu entrega no periodo da tarde
PA-2023-00064;09/08/2023 11:12 AM;09/08/2023 12:02 PM;PATA AMIGA ITAJAI PRAIA;LJ-003;Sao Vicente;Acessorios;boleto;3;0;0;1,6;R$ 197,96;38.60;159,36;V;App;2023-09-10;2023-09-10;2023-09-14;;;Entrega Expressa SC;Despachado - em transito;
PA-2023-00073;09/08/2023 11:05 AM;09/08/2023 12:25 PM;PATA AMIGA LAGUNA;LJ-024;Ponta das Pedras;Medicamentos;VALE PET;5;0;0;7.8;337,21;R$ 73,85;263,36;Sim;SITE;2023-09-10;2023-09-10;2023-09-15;2023-09-16;16.42;Logistica Propria;Entregue;
PA-2023-00069;09/08/2023 11:52 AM;09/08/2023 02:52 PM;PATA AMIGA TUBARAO;LJ-022;Oficinas;RAÇÃO;Especie;7;;0;27.8;984,86;215.68;769.18;Sim;SITE;;;;;;;Pedido cancelado;
PA-2023-00070;09/08/2023 10:23 AM;09/08/2023 03:23 PM;PATA AMIGA TUBARAO;;Passagem;Petisco;Cartão de Débito;7;1;0;23,3;244,89;R$ 53,63;191,26;SIM;telefone;2023-09-10;2023-09-10;;;;Logistica Propria;Aguardando despacho;aguardando confirmacao de estoque
PA-2023-00072;09/08/2023 07:07 AM;09/08/2023 05:07 PM;Pata Amiga Tubarao;LJ-022;Humaita;PETISCO;Credito;7;1;0;4.0;270.98;59,34;211,64;;Whatsapp;2023-09-10;2023-09-10;2023-09-12;2023-09-13;15;TransPet Log;Entregue;
PA-2023-00078;09/08/2023 05:38 PM;09/08/2023 06:13 PM;Pata Amiga São Miguel do Oeste;LJ-032;Agostini;Rac.;Dinheiro;3;0;;11.5;419,03;41.90;377;X;Site;2023-09-09;2023-09-09;2023-09-12;2023-09-14;25.27;Correios;Entregue;conferir endereco com o cliente
PA-2023-00077;09/08/2023 03:20 PM;09/08/2023 06:20 PM;Pata Amiga Concordia;;Nacoes;Acessorio;Vale Pet;7;0;0;5.6;R$ 764,62;76;688,16;sim;app;2023-09-09;2023-09-09;2023-09-13;2023-09-15;15.78;Rapido Catarinense;Entregue;pedido recorrente
PA-2023-00063;09/08/2023 07:35 PM;09/08/2023 07:45 PM;Pata Amiga Rio do Sul;;;Rac.;Pix;5;0;0;5.1;562.78;R$ 45,59;517;SIM;Site;2023-09-09;2023-09-10;;;;TransPet Log;Aguardando despacho;embalagem para presente
PA-2023-00074;09/08/2023 07:25 PM;09/08/2023 09:25 PM;PATA AMIGA LAGUNA;LJ-024;Centro;Higiene;CARTAO DE DEBITO;7;0;0;5.6;401,48;R$ 87,92;R$ 313,56;sim;APP;2023-09-10;;;;;Correios;Aguardando nota fiscal;
PA-2023-00068;09/08/2023 12:20 PM;09/08/2023 10:20 PM;Pata Amiga Tubarão;LJ-022;Oficinas;Racao Seca;PIX;7;;0;20,7;1282.16;280.79;1.001,37;1;App;2023-09-09;2023-09-10;2023-09-15;2023-09-17;R$ 30,00;Rapido Catarinense;Entregue;produto fora de linha - substituido
PA-2023-00076;09/08/2023 12:20 PM;09/08/2023 10:20 PM;Pata Amiga Chapeco;LJ-029;;Petiscos;boleto;6;0;0;6.3;-;R$ 27,46;247,18;SIM;LOJA FISICA;;;;;;;Retirada na loja;
PA-2023-00075;09/08/2023 11:35 PM;09/08/2023 11:45 PM;PATA AMIGA CHAPECO;;Efapi;petisco;Cartão de Débito;4;0;0;9,2;R$ 84,69;8.47;76;Sim;APP;2023-09-10;2023-09-11;2023-09-15;2023-09-17;15.16;TransPet Log;Entregue;
PA-2023-00081;09/09/2023 02:20 AM;09/09/2023 03:40 AM;Pata Amiga Timbo;LJ-005;Araponguinhas;Serviço;BOLETO;4;0;0;6.2;440,99;61,74;R$ 379,25;Sim;APP;;;;;;;Pedido cancelado;pedido recorrente
PA-2023-00086;09/09/2023 03:25 AM;09/09/2023 04:00 AM;PATA AMIGA PALHOCA;LJ-019;Passa Vinte;brinquedo;pix;4;0;1;6.7;312.76;;275.85;X;LOJA FISICA;;;;;;;Retirada na loja;
PA-2023-00084;09/09/2023 05:00 AM;09/09/2023 05:50 AM;PATA AMIGA SAO JOSE KOBRASOL;;Forquilhinhas;Acessório;Vale Pet;4;0;0;11.9;325,75;R$ 38,44;287;SIM;SITE;2023-09-11;2023-09-11;2023-09-15;2023-09-16;39,20;Rapido Catarinense;Entregue;
PA-2023-00088;09/09/2023 12:12 PM;09/09/2023 01:02 PM;Pata Amiga Palhoça;LJ-019;Passa Vinte;servico;Vale Pet;4;0;0;4,5;672.61;79;593,24;SIM;site;2023-09-10;2023-09-11;2023-09-16;2023-09-18;10;Rapido Catarinense;Entregue;embalagem para presente
PA-2023-00085;09/09/2023 12:45 PM;09/09/2023 01:20 PM;Pata Amiga Sao Jose Kobrasol/SC;;Kobrasol;Brinquedo;vale pet;4;0;N/I;4.4;173,90;20,52;153.38;V;whatsapp;2023-09-11;2023-09-11;2023-09-14;2023-09-15;18,04;Rapido Catarinense;Entregue;pedido recorrente
PA-2023-00082;09/09/2023 01:55 PM;09/09/2023 02:30 PM;pata amiga indaial;;Warnow;Racao;vale pet;5;0;0;13.1;805,55;R$ 112,78;R$ 692,77;Sim;Whatsapp;2023-09-11;2023-09-11;2023-09-14;2023-09-16;39.97;Correios;Entregue;produto fora de linha - substituido
PA-2023-00090;09/09/2023 04:00 PM;09/09/2023 04:35 PM;Pata Amiga Chapecó;LJ-029;Passo dos Fortes;Petisco;Cartao de Debito;4;0;2;8.8;R$ 89,83;0,00;89,83;0;Site;2023-09-11;2023-09-11;2023-09-16;2023-09-17;28,58;Correios;Entregue;pedido recorrente
PA-2023-00080;09/09/2023 04:47 PM;09/09/2023 06:47 PM;PATA AMIGA ITAJAI PRAIA;LJ-003;Cordeiros;Acessorio;boleto;2;0;0;6.8;214,16;;201;sim;site;2023-09-10;2023-09-11;2023-09-15;2023-09-17;13,16;TransPet Log;Entregue;pedido recorrente
PA-2023-00083;09/09/2023 06:35 PM;09/09/2023 07:10 PM;Pata Amiga Floripa Norte;;Trindade;RACAO;pix;3;0;0;6.4;547,22;R$ 0,00;R$ 547,22;Não;WHATSAPP;2023-09-11;2023-09-12;;;;Logistica Propria;Aguardando despacho;aguardando confirmacao de estoque
PA-2023-00089;09/09/2023 07:20 PM;09/09/2023 07:40 PM;Pata Amiga Ararangua;LJ-023;Cidade Alta;Servico;Credito;6;0;0;3.2;R$ 896,67;105;790,86;SIM;;2023-09-11;2023-09-12;2023-09-15;2023-09-18;8,99;Logistica Propria;Entregue;
PA-2023-00095;09/10/2023 02:23 AM;09/10/2023 04:23 AM;PATA AMIGA JARAGUA DO SUL;LJ-014;;Petisco;dinheiro;4;0;;15.5;172.91;38;;sim;APP;2023-09-11;2023-09-11;2023-09-14;2023-09-15;42,34;TransPet Log;Entregue;
